Unnamed: 0,Year,Player,Pos,Age,Tm,G,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,WS,BPM,VORP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
0,1950.0,Curly Armstrong,G-F,31.0,FTW,63.0,,0.368,,,,,,,,3.5,,,0.27899999999999997,,0.27899999999999997,0.27899999999999997,0.705,,176.0,,,,458.0
1,1950.0,Cliff Barker,SG,29.0,INO,49.0,,0.435,,,,,,,,2.2,,,0.37200000000000005,,0.37200000000000005,0.37200000000000005,0.708,,109.0,,,,279.0
2,1950.0,Leo Barnhorst,SF,25.0,CHS,67.0,,0.39399999999999996,,,,,,,,3.6,,,0.349,,0.349,0.349,0.698,,140.0,,,,438.0
3,1950.0,Ed Bartels,F,24.0,TOT,15.0,,0.312,,,,,,,,-0.6,,,0.256,,0.256,0.256,0.5589999999999999,,20.0,,,,63.0
4,1950.0,Ed Bartels,F,24.0,DNN,13.0,,0.308,,,,,,,,-0.6,,,0.256,,0.256,0.256,0.5479999999999999,,20.0,,,,59.0
5,1950.0,Ed Bartels,F,24.0,NYK,2.0,,0.376,,,,,,,,0.0,,,0.25,,0.25,0.25,0.667,,0.0,,,,4.0
6,1950.0,Ralph Beard,G,22.0,INO,60.0,,0.42200000000000004,,,,,,,,4.8,,,0.363,,0.363,0.363,0.762,,233.0,,,,895.0
7,1950.0,Gene Berce,G-F,23.0,TRI,3.0,,0.275,,,,,,,,-0.1,,,0.313,,0.313,0.313,0.0,,2.0,,,,10.0
8,1950.0,Charlie Black,F-C,28.0,TOT,65.0,,0.34600000000000003,,,,,,,,2.8,,,0.278,,0.278,0.278,0.6509999999999999,,163.0,,,,661.0
9,1950.0,Charlie Black,F-C,28.0,FTW,36.0,,0.36200000000000004,,,,,,,,1.5,,,0.287,,0.287,0.287,0.632,,75.0,,,,382.0
10,1950.0,Charlie Black,F-C,28.0,AND,29.0,,0.326,,,,,,,,1.3,,,0.267,,0.267,0.267,0.688,,88.0,,,,279.0
11,1950.0,Nelson Bobb,PG,25.0,PHW,57.0,,0.396,,,,,,,,1.8,,,0.32299999999999995,,0.32299999999999995,0.32299999999999995,0.626,,46.0,,,,242.0
12,1950.0,Jake Bornheimer,F-C,22.0,PHW,60.0,,0.35600000000000004,,,,,,,,0.8,,,0.289,,0.289,0.289,0.667,,40.0,,,,254.0
13,1950.0,Vince Boryla,SF,22.0,NYK,59.0,,0.426,,,,,,,,3.9,,,0.34,,0.34,0.34,0.764,,95.0,,,,612.0
14,1950.0,Don Boven,F-G,24.0,WAT,62.0,,0.461,,,,,,,,3.8,,,0.373,,0.373,0.373,0.688,,137.0,,,,656.0
15,1950.0,Harry Boykoff,C,27.0,WAT,61.0,,0.479,,,,,,,,5.3,,,0.413,,0.413,0.413,0.775,,149.0,,,,779.0
16,1950.0,Joe Bradley,G,21.0,CHS,46.0,,0.289,,,,,,,,-0.3,,,0.26899999999999996,,0.26899999999999996,0.26899999999999996,0.395,,36.0,,,,87.0
